Id	Desc	BattleType	PointType	PointSubType	DataID	PosX	PosZ	FaceDirection	TeamType	AIFirstPointId	PointMode	GroupId
#103068	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点068	1	7	0	100001	-35.97	19.88	0	-1	-1	0	-1
#103069	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点069	1	7	0	100001	-41.95	17.57	0	-1	-1	0	-1
#103070	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点070	1	7	0	100001	-39.86	10.41	0	-1	-1	0	-1
#103071	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点071	1	7	0	100001	-36.55	5.58	0	-1	-1	0	-1
#103072	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点072	1	7	0	100001	-48.32	7.03	0	-1	-1	0	-1
#103073	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点073	1	7	0	100001	-44	0.96	0	-1	-1	0	-1
#103074	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点074	1	7	0	100001	-37.98	-3.26	0	-1	-1	0	-1
#103075	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点075	1	7	0	100001	-37.73	-18.7	0	-1	-1	0	-1
#103076	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点076	1	7	0	100001	-39.8	-11.85	0	-1	-1	0	-1
#103077	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点077	1	7	0	100001	-44.72	-8.33	0	-1	-1	0	-1
#103078	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点078	1	7	0	100001	-16.54	-20.17	0	-1	-1	0	-1
104001	新手战场（空中花园_抢金币）_战场金币生成的区域中心点001	1	2	0	10001	34.87	-27.93	0	-1	-1	0	-1
104002	新手战场（空中花园_抢金币）_战场金币生成的区域中心点002	1	2	0	10002	33	29.2	0	-1	-1	0	-1
104003	新手战场（空中花园_抢金币）_战场金币生成的区域中心点003	1	2	0	10003	-34	29.4	0	-1	-1	0	-1
104004	新手战场（空中花园_抢金币）_战场金币生成的区域中心点004	1	2	0	10004	-32.9	-28.1	0	-1	-1	0	-1
#105001	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点001	1	6	0	100007	-16.9	-0.6	0	-1	-1	0	-1
#105002	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点002	1	6	0	100007	17.5	-0.6	0	-1	-1	0	-1
#105003	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点003	1	6	0	100007	24.2	25.8	0	-1	-1	0	-1
#105004	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点004	1	6	0	100007	22.5	-25.5	0	-1	-1	0	-1
#105005	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点005	1	6	0	100007	-28.9	-24.28	0	-1	-1	0	-1
#105006	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点006	1	6	0	100007	-28.9	27	0	-1	-1	0	-1
#105007	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点007	1	6	0	100007	49.6	-0.32	0	-1	-1	0	-1
#105008	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点008	1	6	0	100007	-49.6	-0.32	0	-1	-1	0	-1
#105009	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点009	1	6	0	100007	-38.6	-21.8	0	-1	-1	0	-1
#105010	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点010	1	6	0	100007	-24.5	-36.2	0	-1	-1	0	-1
#105011	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点011	1	6	0	100007	-10.8	-51.4	0	-1	-1	0	-1
#105012	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点012	1	6	0	100007	41.4	16.5	0	-1	-1	0	-1
#105013	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点013	1	6	0	100007	27.7	31.7	0	-1	-1	0	-1
#105014	新手战场（空中花园_抢金币）_普通NPC“血包矿工（隐藏）”刷新点014	1	6	0	100007	13.6	46.1	0	-1	-1	0	-1
#106001	新手战场（空中花园_抢金币）_场景buff（回复）刷新点001	1	3	0	10001	12.28	-32.7	0	-1	-1	0	-1
#106002	新手战场（空中花园_抢金币）_场景buff（加速）刷新点002	1	3	0	10002	-11.92	-32.77	0	-1	-1	0	-1
#106003	新手战场（空中花园_抢金币）_场景buff（加速）刷新点003	1	3	0	10002	12.2	32.5	0	-1	-1	0	-1
#106004	新手战场（空中花园_抢金币）_场景buff（磁铁）刷新点004	1	3	0	10003	-12.37	32.96	0	-1	-1	0	-1
#106005	新手战场（空中花园_抢金币）_场景buff（骷髅）刷新点005	1	3	0	10004	-48.76	0	90	-1	-1	0	-1
#106006	新手战场（空中花园_抢金币）_场景buff（防御）刷新点006	1	3	0	10005	49.3	0	90	-1	-1	0	-1
#106007	新手战场（空中花园_抢金币）_普通道具“小车”刷新点007	1	3	0	10001	-24.4	36.9	0	-1	-1	0	-1
#106008	新手战场（空中花园_抢金币）_普通道具“小车”刷新点008	1	3	0	10001	-43.9	18.9	0	-1	-1	0	-1
#106009	新手战场（空中花园_抢金币）_普通道具“石柱”刷新点001	1	3	0	10002	0	0	0	-1	-1	0	-1
#106010	新手战场（空中花园_抢金币）_普通道具“石块”刷新点001	1	3	0	10003	-12.77	-32.73	0	-1	-1	0	-1
#106011	新手战场（空中花园_抢金币）_普通道具“石块”刷新点002	1	3	0	10003	12.45	33.9	0	-1	-1	0	-1
#106012	新手战场（空中花园_抢金币）_普通道具“飞机”刷新点002	1	3	0	10003	-12.8	33.57	0	-1	-1	0	-1
#106013	新手战场（空中花园_抢金币）_普通道具“飞机”刷新点002	1	3	0	10003	12.21	-32.33	0	-1	-1	0	-1
#201001	娱乐战场（火烈岛_抢金币）_持续补血区域	5	0	0	10001	-1.4	-2.44	0	-1	-1	0	-1
#107001	新手战场（空中花园_抢金币）_场景buff（回复）_小_刷新点001	1	3	0	10001	-17	-49	0	-1	-1	0	-1
#107002	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点001	1	3	0	10001	-27	-38	0	-1	-1	0	-1
#107003	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点001	1	3	0	10001	-37	-30	0	-1	-1	0	-1
#107004	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点001	1	3	0	10001	-46	-21	0	-1	-1	0	-1
#107005	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点002	1	3	0	10001	-46	21	0	-1	-1	0	-1
#107006	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点002	1	3	0	10001	-37	30	0	-1	-1	0	-1
#107007	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点002	1	3	0	10002	-27	38	0	-1	-1	0	-1
#107008	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点002	1	3	0	10002	-17	49	0	-1	-1	0	-1
#107009	新手战场（空中花园_抢金币）_场景buff（回复）_小_刷新点003	1	3	0	10002	17	49	0	-1	-1	0	-1
#107010	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点003	1	3	0	10002	27	38	0	-1	-1	0	-1
#107011	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点003	1	3	0	10002	37	30	0	-1	-1	0	-1
#107012	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点003	1	3	0	10003	46	21	0	-1	-1	0	-1
#107013	新手战场（空中花园_抢金币）_场景buff（回复）_小_刷新点004	1	3	0	10003	17	-49	0	-1	-1	0	-1
#107014	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点004	1	3	0	10003	27	-38	0	-1	-1	0	-1
#107015	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点004	1	3	0	10003	37	-30	0	-1	-1	0	-1
#107016	新手战场（空中花园_抢金币）_场景buff（防御）_小_刷新点004	1	3	0	10003	46	-21	0	-1	-1	0	-1
#107101	新手战场（空中花园_抢金币）_场景buff（加速）_中_刷新点001	1	3	0	10007	12	32	0	-1	-1	0	-1
#107102	新手战场（空中花园_抢金币）_场景buff（加速）_中_刷新点001	1	3	0	10007	12	-32	0	-1	-1	0	-1
#107103	新手战场（空中花园_抢金币）_场景buff（加速）_中_刷新点001	1	3	0	10007	-12	32	0	-1	-1	0	-1
#107104	新手战场（空中花园_抢金币）_场景buff（加速）_中_刷新点001	1	3	0	10007	-12	-32	0	-1	-1	0	-1
#107201	新手战场（空中花园_抢金币）_场景buff（回复）_大_刷新点001	1	3	0	10011	50	0	0	-1	-1	0	-1
#107202	新手战场（空中花园_抢金币）_场景buff（回复）_大_刷新点001	1	3	0	10011	-50	0	0	-1	-1	0	-1
#107203	新手战场（空中花园_抢金币）_场景buff（回复）_大_刷新点001	1	3	0	10011	0	65	0	-1	-1	0	-1
#107204	新手战场（空中花园_抢金币）_场景buff（回复）_大_刷新点001	1	3	0	10011	0	-56	0	-1	-1	0	-1
#107301	新手战场（空中花园_抢金币）_场景buff（磁铁）_超大_刷新点001	1	3	0	10018	0	0	0	-1	-1	0	-1
#108001	新手战场（空中花园_抢金币）_野怪NPC_木桩_刷新点001	1	6	5	100008	0	0	0	-1	-1	0	0
#108002	新手战场（空中花园_抢金币）_野怪NPC_木桩_刷新点002	1	6	5	100012	-10	0	0	-1	-1	0	0
#108003	新手战场（空中花园_抢金币）_野怪NPC_木桩_刷新点003	1	6	5	100013	10	0	0	-1	-1	0	0
#108004	新手战场（空中花园_抢金币）_野怪NPC_木桩_刷新点004	1	6	5	100014	0	-10	0	-1	-1	0	0
#108005	新手战场（空中花园_抢金币）_野怪NPC_小红人_刷新点001	1	6	5	100009	49	14	0	-1	-1	0	-1
#108006	新手战场（空中花园_抢金币）_野怪NPC_小红人_刷新点002	1	6	5	100010	0	-50	0	-1	-1	0	-1
#108007	新手战场（空中花园_抢金币）_野怪NPC_小红人_刷新点003	1	6	5	100011	-50	10	0	-1	-1	0	-1
#108008	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点001	1	6	7	100015	52.41	0.07	0	-1	-1	0	1
#108009	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点002	1	6	7	100016	48.71	-2.49	0	-1	-1	0	1
#108010	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点003	1	6	7	100017	47.3	0.07	0	-1	-1	0	1
#108011	新手战场（空中花园_抢金币）_野怪NPC_守卫_刷新点001	1	6	5	100018	-1	-1	180	-1	-1	0	-1
108012	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点004	1	6	7	100015	-43.99	-11.56	120	-1	-1	0	2
108013	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点005	1	6	7	100029	-43.94	-7.29	120	-1	-1	0	2
108014	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点006	1	6	7	100017	-41.19	-7.26	120	-1	-1	0	2
108015	新手战场（空中花园_抢金币）_野怪NPC_小红人_打牌刷新点001	1	6	7	100025	2.45	66.7	0	-1	-1	0	3
108016	新手战场（空中花园_抢金币）_野怪NPC_小红人_打牌刷新点002	1	6	7	100026	-0.14	63.57	0	-1	-1	0	3
108017	新手战场（空中花园_抢金币）_野怪NPC_小红人_打牌刷新点003	1	6	7	100027	-1.88	66.43	0	-1	-1	0	3
108018	新手战场（空中花园_抢金币）_野怪NPC_小红人_2人组手机1	1	6	6	100030	4.01	-15.84	158	-1	-1	0	4
108019	新手战场（空中花园_抢金币）_野怪NPC_小红人_2人组手机2	1	6	6	100021	-1.05	-18.71	76	-1	-1	0	4
108020	新手战场（空中花园_抢金币）_野怪NPC_小红人_2人组吃饭-鸡腿	1	6	6	100031	-2.99	18.9	-174.8	-1	-1	0	5
108021	新手战场（空中花园_抢金币）_野怪NPC_小红人_2人组吃饭-肉	1	6	6	100028	2.3	18.34	131.9	-1	-1	0	5
108022	新手战场（空中花园_抢金币）_野怪NPC_小红人_画画1	1	6	5	100019	-19.52	0.32	82.6	-1	-1	0	-1
108023	新手战场（空中花园_抢金币）_野怪NPC_小红人_画画2	1	6	5	100019	18.65	0	-69.1	-1	-1	0	-1
108024	新手战场（空中花园_抢金币）_野怪NPC_小红人_思考1	1	6	5	100010	-21.83	-33	-92.57	-1	-1	0	-1
108025	新手战场（空中花园_抢金币）_野怪NPC_小红人_思考2	1	6	5	100010	21.9	-33	56.6	-1	-1	0	-1
108026	新手战场（空中花园_抢金币）_野怪NPC_小红人_打牌刷新点B1	1	6	7	100025	-9.96	51.73	-31.22	-1	-1	0	6
108027	新手战场（空中花园_抢金币）_野怪NPC_小红人_打牌刷新点B2	1	6	7	100027	-13.91	46.58	-95.54	-1	-1	0	6
108028	新手战场（空中花园_抢金币）_野怪NPC_小红人_打牌刷新点C1	1	6	7	100025	11.65	50.1	-93	-1	-1	0	7
108029	新手战场（空中花园_抢金币）_野怪NPC_小红人_打牌刷新点C2	1	6	7	100027	14.5	45.89	-159.96	-1	-1	0	7
108030	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点B1	1	6	7	100015	43.85	-9.73	0	-1	-1	0	8
108031	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点B2	1	6	7	100017	38.74	-9.39	0	-1	-1	0	8
108032	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点C1	1	6	7	100015	42.88	7.84	120	-1	-1	0	9
108033	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点C2	1	6	7	100017	45.69	12.11	120	-1	-1	0	9
108034	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点D1	1	6	7	100015	-44.37	11.8	180	-1	-1	0	10
108035	新手战场（空中花园_抢金币）_野怪NPC_小红人_下棋刷新点D2	1	6	7	100017	-39.25	11.55	180	-1	-1	0	10
108036	新手战场（空中花园_抢金币）_野怪NPC_小红人_画画3	1	6	5	100019	18.33	19.3	50.6	-1	-1	0	-1
108037	新手战场（空中花园_抢金币）_野怪NPC_小红人_画画4	1	6	5	100019	-19.4	21.4	-25.5	-1	-1	0	-1
#109001	新手战场（空中花园_抢金币）_召唤物底座刷新点001	1	12	0	1	0	-23	-90	-1	-1	0	-1
#109002	新手战场（空中花园_抢金币）_召唤物底座刷新点002	1	12	0	2	0	15.5	0	-1	-1	0	-1
109003	新手战场（空中花园_抢金币）_召唤物底座刷新点003大	1	12	0	3	0	0	0	-1	-1	0	-1
109004	新手战场（空中花园_抢金币）_召唤物底座刷新点003小	1	12	0	2	0	-65	0	-1	-1	0	-1
202001	娱乐战场（火烈岛_抢金币）_玩家小队出生点001	5	1	0	20001	78.3	-53.52	0	-1	-1	0	-1
202002	娱乐战场（火烈岛_抢金币）_玩家小队出生点002	5	1	0	20001	-98.4	26.8	0	-1	-1	0	-1
202003	娱乐战场（火烈岛_抢金币）_玩家小队出生点003	5	1	0	20001	-81.5	-40.6	0	-1	-1	0	-1
