Id	Desc	BattleType	EventType	IsOnceEvent	ActivateTime	ReActivateCDTime	AffectCDTime	ActivatePointType	PointSubType	Param1	Param2	PoolRate	FinishTime	CanBreakPoolEvents	NotifyAdvanceTipId	NotifyAdvanceTime	NotifyOpenTipId	NotifyCloseTipId	BGMId
10007	新手战场_空中花园（抢金币）_生成普通NPC“血包工”	1	8	0	0	0	-1	6	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
10008	新手战场_空中花园（抢金币）_生成普通NPC“中金币旷工”	1	8	0	20000	20000	-1	8	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
10009	新手战场_空中花园（抢金币）_生成普通NPC“大金币旷工”	1	8	0	30000	30000	-1	9	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
10010	新手战场_空中花园（抢金币）_生成底座	1	13	0	0	15000	-1	12	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
10011	新手战场_空中花园（抢金币）_生成野怪NPC“木桩”标准组	1	8	0	60000	90000	-1	6	6	-1	-1	0	-1	0	-1	0	-1	-1	-1
10012	新手战场_空中花园（抢金币）_生成野怪NPC“木桩”快组	1	8	0	0	120000	-1	6	7	-1	-1	0	-1	0	-1	0	-1	-1	-1
#10013	新手战场_空中花园（抢金币）_生成野怪NPC“木桩”7人组	1	8	0	0	20000	-1	6	8	-1	-1	0	-1	0	-1	0	-1	-1	-1
20001	娱乐战场_火烈岛（抢金币）_战场初始化+操作解禁+云层拨开	5	0	1	3000	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
20002	娱乐战场_火烈岛（抢金币）_战场正式开启	5	1	1	3000	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
20003	娱乐战场_火烈岛（抢金币）_生成“玩家小队”	5	4	0	0	5000	-1	1	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
20004	娱乐战场_火烈岛（抢金币）_生成普通NPC“小金币旷工”	5	8	0	0	3000	-1	7	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
20005	娱乐战场_火烈岛（抢金币）_生成普通NPC“血包旷工”	5	8	0	0	-1	-1	6	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
#20006	娱乐战场_火烈岛（抢金币）_生成事件NPC“金矿车”（劫掠时刻）	5	8	0	-1	-1	-1	6	1	-1	-1	0	-1	0	1032	10000	1035	1036	1000001
#20007	娱乐战场_火烈岛（抢金币）_生成事件NPC“夺金BOSS”（追逐时刻）	5	8	0	-1	-1	-1	6	2	-1	-1	0	-1	0	1033	10000	1037	1038	1000001
#20008	娱乐战场_火烈岛（抢金币）_生成事件NPC“终极BOSS”（逃亡时刻）	5	8	0	330000	-1	-1	6	3	-1	-1	0	-1	1	1034	10000	1039	-1	1000002
20009	娱乐战场_火烈岛（抢金币）_生成普通道具“战场投掷物”	5	5	0	10000	10000	-1	3	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
#20010	娱乐战场_火烈岛（抢金币）_刷新【战场事件池】中的事件	5	10	0	60000	60000	-1	-1	-1	-1	-1	0	300000	0	-1	0	-1	-1	-1
#20011	娱乐战场_火烈岛（抢金币）_生成事件NPC“货船”	5	8	0	-1	-1	-1	6	4	-1	-1	0	-1	0	-1	0	-1	-1	-1
20012	娱乐战场_火烈岛（抢金币）_生成“黄金钱罐”	5	5	0	-1	-1	-1	3	1	-1	-1	50	60000	0	1033	10000	1037	1038	1000001
20013	娱乐战场_火烈岛（抢金币）_生成普通NPC“中金币旷工”	5	8	0	20000	20000	-1	8	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
20014	娱乐战场_火烈岛（抢金币）_生成普通NPC“大金币旷工”	5	8	0	30000	30000	-1	9	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
20015	娱乐战场_火烈岛（抢金币）_生成普通NPC“血包工”	5	8	0	0	0	-1	6	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
20016	娱乐战场_火烈岛（抢金币）_生成“安全区域”	5	11	1	0	-1	-1	10	0	250	-1	0	-1	0	-1	0	-1	-1	-1
20017	娱乐战场_火烈岛（抢金币）_“安全区域”开始塌陷	5	12	1	120000	-1	-1	-1	-1	300000	25	0	-1	0	-1	0	-1	-1	-1
20018	新手战场_火烈岛（抢金币）_生成野怪NPC“木桩”1人组	5	8	0	30000	120000	-1	6	5	-1	-1	0	-1	0	-1	0	-1	-1	-1
20019	新手战场_火烈岛（抢金币）_生成底座	5	13	0	0	15000	-1	12	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
20020	新手战场_火烈岛（抢金币）_生成野怪NPC“木桩”2人组	5	8	0	60000	90000	-1	6	6	-1	-1	0	-1	0	-1	0	-1	-1	-1
20021	新手战场_火烈岛（抢金币）_生成野怪NPC“木桩”3人组	5	8	0	0	120000	-1	6	7	-1	-1	0	-1	0	-1	0	-1	-1	-1
20022	新手战场_火烈岛（抢金币）_生成野怪NPC“木桩”7人组	5	8	0	0	20000	-1	6	8	-1	-1	0	-1	0	-1	0	-1	-1	-1
30001	新手战场_空中花园（抢金币）_战场初始化+操作解禁+云层拨开	6	0	1	1000	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
30002	新手战场_空中花园（抢金币）_生成“玩家小队”	6	4	0	0	5000	-1	1	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
30003	新手战场_空中花园（抢金币）_战场正式开启	6	1	1	1200	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
